flags,utterance,category,intent
BL,i want to know where to modify my purchase,ORDER,change_order
BISLQD,can u ask an agent for information about seeing an invoice?,INVOICES,get_invoice
BL,tell me if I can have more than one user account,ACCOUNT,create_account
BLQ,"I want to obtain an invoice, tell me where to do it",INVOICES,get_invoice
BILC,"i want to make a review, what do i have to do?",FEEDBACK,review
BIC,"I want to track my order, can you help me?",ORDER,track_order
BILQC,"I changed my mind, what can I do to cancel my user account?",ACCOUNT,delete_account
BIMLC,"I want to view my invoice, what can I do?",INVOICES,check_invoices
BS,I need help checking the status of my order,ORDER,track_order
BML,tell me if I can create more than one account with the same email,ACCOUNT,create_account
BL,how to call Customer Support,CONTACT,contact_customer_service
BMLQZ,I ant to notify problems making a payment,PAYMENT,payment_issue
BIL,is it possible to request an invoice?,INVOICES,get_invoice
BL,tell me where I can request an invoice,INVOICES,get_invoice
BILC,"I'm discontent with the service, what do I have to do to lodge a consumer complaint?",FEEDBACK,complaint
BLQ,I wanna check my package,ORDER,track_order
BMLZ,I had a issue creating a profile,ACCOUNT,registration_problems
BILC,"I don't have a shipping address, how can I set it up?",SHIPPING,set_up_shipping_address
BIPLQD,"please, can u ask an agent if i can solve a problem with my payment?",PAYMENT,payment_issue
BLQD,ask an agent how to inform of an issue with my payment,PAYMENT,payment_issue
BIQC,"the event was postponed, what should i do to get a refund?",REFUNDS,get_refund
BL,how to see the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BIPLQD,"can u ask an agent how to see my invoices, please?",INVOICES,check_invoices
BLC,"the event was postponed, help me request a reimbursement",REFUNDS,get_refund
BSLQC,"I didn't receive my bills, help me check them",INVOICES,check_invoices
BIPLD,"please, can you ask an agent where I can update my shipping address?",SHIPPING,change_shipping_address
BLD,ask an agent where to remove my user account,ACCOUNT,delete_account
BILCZ,"I have an issue paying, can you niform of it?",PAYMENT,payment_issue
BILD,can you ask an agent where to check my package?,ORDER,track_order
BILC,"an error pops when I try to make a payment with card, what do I have to do?",PAYMENT,payment_issue
B,where to delete my account,ACCOUNT,delete_account
BI,what's the phone number to contact Customer Service?,CONTACT,contact_customer_service
BIMSLC,"I can't find my bill, what should I do to check it?",INVOICES,check_invoices
