utterance,category
i want to know where to modify my purchase,ORDER
can u ask an agent for information about seeing an invoice?,INVOICES
tell me if I can have more than one user account,ACCOUNT
"I want to obtain an invoice, tell me where to do it",INVOICES
"i want to make a review, what do i have to do?",FEEDBACK
"I want to track my order, can you help me?",ORDER
"I changed my mind, what can I do to cancel my user account?",ACCOUNT
"I want to view my invoice, what can I do?",INVOICES
I need help checking the status of my order,ORDER
tell me if I can create more than one account with the same email,ACCOUNT
how to call Customer Support,CONTACT
I ant to notify problems making a payment,PAYMENT
is it possible to request an invoice?,INVOICES
tell me where I can request an invoice,INVOICES
"I'm discontent with the service, what do I have to do to lodge a consumer complaint?",FEEDBACK
I wanna check my package,ORDER
I had a issue creating a profile,ACCOUNT
"I don't have a shipping address, how can I set it up?",SHIPPING
"please, can u ask an agent if i can solve a problem with my payment?",PAYMENT
ask an agent how to inform of an issue with my payment,PAYMENT
"the event was postponed, what should i do to get a refund?",REFUNDS
how to see the cancellation penalty,CANCELLATION_FEE
"can u ask an agent how to see my invoices, please?",INVOICES
"the event was postponed, help me request a reimbursement",REFUNDS
"I didn't receive my bills, help me check them",INVOICES
"please, can you ask an agent where I can update my shipping address?",SHIPPING
ask an agent where to remove my user account,ACCOUNT
"I have an issue paying, can you niform of it?",PAYMENT
can you ask an agent where to check my package?,ORDER
"an error pops when I try to make a payment with card, what do I have to do?",PAYMENT
where to delete my account,ACCOUNT
what's the phone number to contact Customer Service?,CONTACT
"I can't find my bill, what should I do to check it?",INVOICES
sak an agent how to check my bill,INVOICES
an error pops when I try to make a payment for my online order,PAYMENT
can you tell me what the mail address of the Client Service is?,CONTACT
"I lost my bill, how do I see it?",INVOICES
"I don't want my online account, can I close it?",ACCOUNT
can u ask an agent if i could write a comment?,FEEDBACK
"please, do you mind asking an agent if my orders are on theit awy?",ORDER
"I want to download some invoices, tell me how to do it",INVOICES
"I'd like a user account, open one",ACCOUNT
"I have a problem paying for my online order, inform of it",PAYMENT
"my profile was hacked, get it back",ACCOUNT
"I want to check your payment options, what should I do?",PAYMENT
tell me if I can create several online accounts with the same email,ACCOUNT
"i can't find my fucking bills, help me check them",INVOICES
is their any human available?,CONTACT
"I want to register, what can I do?",ACCOUNT
"I do not understand you and I would like to contact fucking someone, please",CONTACT
I need information about the delivery period for my ticket,DELIVERY
"I got an error message when I tried to pay, but my card was charged anyway, report it",PAYMENT
I want to download some invoices,INVOICES
"I got a error message when I attempted to pay, but my card was charged anyway and I want to inform of it",PAYMENT
"i cant understand you, cotact a human",CONTACT
how do I report a problem making a payment?,PAYMENT
"I don't understand you, what should I do to talk to a human agent?",CONTACT
"the event was cancelled, what should I do?",REFUNDS
tell me what the phone no of Customer Service is,CONTACT
"please, could you tell me the free phone number of customer service?",CONTACT
"I haven't got an online account, what do I have to do to open one?",ACCOUNT
"I have an issue making a payment with card, can you notify it?",PAYMENT
"I want to check my package, can you tell me how I can do it?",ORDER
"i want to know if i could register two fucking accounts with the same email, please",ACCOUNT
"I lost my password, reset it",ACCOUNT
"I have a problem when trying to pay for my online order, can you report it?",PAYMENT
can you tell me what the mail address to contact Client Service is?,CONTACT
can u ask an agent were to view their refund policy?,REFUNDS
I ordered something and Id like to change my order,ORDER
"can you ask an agent what the phone number of Customer Service is, please?",CONTACT
can you tello me if I can obtain some bills?,INVOICES
"I have no profile , I need help creating one",ACCOUNT
"I can't understand you, what can I do to contact a human agent?",CONTACT
tell me what the free no to contact Customer Support is,CONTACT
is there a free number to contact Client Service?,CONTACT
"i have an issue making a payment with card, can u inform of it?",PAYMENT
"I don't want my account, help me close it",ACCOUNT
"i would like to check my order, could you tell me where I can do it, please?",ORDER
