utterance,topic_id,topic_label,is_new_topic
"I have an issue when trying to pay with card, can I notify it?",45,Card Payment Issues,True
"i wanna see cancellation fees, what should i do?",19,Cancellation Fees and Penalties,False
"i wanna see the status of my refund, what should i do?",39,Refund Policy Information,False
can I talk to someone?,9,Human Interaction Support,False
how to solve a payment problem,1,Payment Problems & Reporting,False
"can u ask an agent where i can see their payment options, please?",7,Payment & Account Issues,False
"I bought a prodjct, can I change my purchase?",5,Order Modifications & Changes,False
my online account was hacked and I want to recover it,33,Email & Contact Information,False
i want to know if i can register two online accounts with the same email address,13,Account Creation & Management,False
"I get an error message when I attempt to pay for my online order , can you help me?",36,Order Placement Errors,False
where to make an order,-1,Outlier/Noise,False
help me obtain a reimbursement,51,Reimbursement Requests,True
is it possible to download some invoices?,3,Missing Invoices & Download Issues,False
ask an agent where to view their money back guarantee,37,Refund Requests & Policies,False
can you show me information about the delivery period?,43,Delivery Tracking,True
where can I see the options for ticket delivery?,-1,Outlier/Noise,False
"i changed my mind, what do i have to do to cancel my profile?",31,Compromised Account Recovery,False
"I don't understand you, how can I contact a human?",44,Requesting Human Agent Transfer,True
"i want to view your payment options, what can i do?",47,Payment Methods,True
can u show me the email address of customer service ?,14,Customer Support Contact Info,False
"tell me if i could check my shipments, please",0,Package Tracking & Delivery Status,False
I'm interested in your refund policy,39,Refund Policy Information,False
"I have a problem when trying to pay with card, how can I inform of it?",45,Card Payment Issues,True
"I changed my mind, how do I remove my user account?",42,Account Cancellation,False
"I don't want my online account, how do I close it?",8,Account Deletion & Cancellation,False
"I want to notify an issue paying, what should I do?",1,Payment Problems & Reporting,False
"the concert was postponed, what can I do to get a reimbursement?",10,Event Cancellation and Refunds,False
you aren't helping and I want to contact a human,9,Human Interaction Support,False
"i lost my account password, what do i have to do to retrieve it?",12,Password Recovery & Account Access,False
"I have a question, contact Customer Support",20,Customer Support & Contact,False
where do I request a reimbursement?,51,Reimbursement Requests,True
"I want to check my delivery, can you tell me where to do it?",43,Delivery Tracking,True
where to report payment issues,1,Payment Problems & Reporting,False
"you're not helping ane I want to talk to a human, please",9,Human Interaction Support,False
I need help solving issues making a payment,1,Payment Problems & Reporting,False
I have no shipping address and I want to set one up,32,Shipping Address Management,False
I bought something and I want to change my order,5,Order Modifications & Changes,False
"I have a problem paying, I need help notifying it",1,Payment Problems & Reporting,False
"I can't find my bills, how do I view them?",40,Missing Bill Access & Viewing,False
